STATE,Population,Region,USE OF WATER,ASSETS,SCHOOLING,NUTRITION,SANITARY,TYPE OF FLOOR,COOKING FUEL,LIGHTENING,SCHOOL ATTENDANCE,CHILD MORTALITY,"INCIDENCE OF POVERTY, H (%)","INTENSITY OF POVERTY, A (%)",Life Exp. Index,GNI Index,GNI per Capita ($ Million),HDI Value,Companies,Inequality,Life Expectancy,IGR (2021),IGR per Capita (2021),Literacy,Unemployment,MPI,Road Traffic Accidents (2021),Reported Crimes,Avg Food Item Price (Sep 2022),IHDI
ABIA,3841943,South East,9.5,16,14.3,0,16.3,6.4,43.1,13.6,3,0.4,44.4,37.1,0.5063,0.3543,1629.44,0.5406,3460,0.2779,52,19578331591,5095.945357,72.5,0.500729303,0.1647,106,1673,1213.248744,0.3904
ADAMAWA,4536948,North East,25.2,24.6,44.2,5.5,15.2,29,50,39.7,28.9,6.2,50,40.5,0.3639,0.3275,1368.85,0.4286,122,0.3468,43,13011611228,2867.921613,40.5,0.548889063,0.2025,330,1888,671.8318513,0.28
AKWA IBOM,4780581,South South,17.1,28.3,18.4,9.2,27.2,14.4,59.4,24.6,5.8,0.9,59.7,41,0.4905,0.4045,2258.6,0.5642,1060,0.273,51,31396512095,6567.509701,66.3,0.510035961,0.2448,73,12408,1025.212968,0.4102
ANAMBRA,5599910,South East,9.7,7.8,8.4,0.7,12,1.9,24.3,7.3,2,0,25.4,36.1,0.443,0.2559,859.726,0.4709,1220,0.2768,48,30916674612,5520.923481,75.1,0.442189368,0.0917,267,2269,1195.899951,0.3406
BAUCHI,7540663,North East,33.8,42.8,69.5,16.8,12.5,43.8,71.5,57.9,56.6,3,71.9,43.7,0.3956,0.2071,626.278,0.3238,160,0.4967,45,17902447968,2374.12121,34.1,0.342249996,0.3142,583,386,648.2874739,0.163
BAYELSA,2394725,South South,27.1,29.7,18.4,4.8,47.5,7.4,51.8,30.1,4,1.5,53.7,42.3,0.4747,0.4693,3441.38,0.5909,263,0.2701,50,13273992304,5543.013208,62,0.366845666,0.2272,48,2041,1076.763389,0.4313
BENUE,5787706,North Central,18.7,27.2,29.9,6.2,27.9,21.5,43.7,32.3,8.4,2,44,37.6,0.4272,0.2871,1052.84,0.4624,315,0.2999,47,12601150537,2177.227132,45.1,0.119773237,0.1654,227,1591,681.4810245,0.3237
BORNO,5751590,North East,20.6,43.7,59.8,4.9,23.9,18.8,70.4,39.5,39,4.7,71.6,43.9,0.3639,0.1646,474.96,0.3276,124,0.3826,43,18738212887,3257.918747,14.5,0.432461799,0.3143,86,1543,661.4298234,0.2023
CROSS RIVER,4175020,South South,20.2,22.6,18.8,5.5,32.1,9.2,40.8,17.7,3.8,0.5,41.4,38.6,0.538,0.3626,1720.18,0.551,867,0.2807,54,22912281172,5487.945249,62.3,0.536508892,0.1598,145,2163,1096.801716,0.3963
DELTA,5307543,South South,12.3,12.8,18.4,1.2,23.1,2,27.7,12,2.1,0.4,30.6,38.2,0.4589,0.4144,2408.07,0.5564,2418,0.2744,49,80203623750,15111.25275,65.7,0.311431436,0.1169,215,7150,1105.28599,0.4037
EBONYI,3007155,South East,28.5,37.7,43.6,10.2,55.3,28.7,58.9,53.6,5.7,0.3,58.9,42.2,0.443,0.2425,787.822,0.4343,184,0.313,48,13752313311,4573.197361,53,0.401590801,0.2486,124,4214,1145.212573,0.2984
EDO,4461137,South South,12.5,19,19.6,3.1,20.5,6.2,35.6,9.8,4.7,0.6,37.6,38.3,0.4747,0.3695,1798.07,0.5299,1668,0.286,50,42427205323,9510.401793,62.9,0.490232729,0.144,243,1729,1200.187957,0.3784
EKITI,3350401,South West,9.1,15.2,15.6,4.6,25.6,6.7,29.1,14.7,1.3,0.2,30.6,37.7,0.5222,0.3777,1897.6,0.5608,407,0.2747,53,13620433128,4065.31431,74.7,0.322077668,0.1154,143,2171,989.6808295,0.4068
